Customer_ID,Customer_Name,City,Gender
CUS00001,Suresh Das,Hyderabad,Male
CUS00002,Rahul Patel,Bangalore,male
CUS00003,Rahul Das,Hyderabad,M
CUS00004,Suresh Rao,Chennai,Female
CUS00005,Meera Das,Pune,Male
CUS00006,Meera Verma,Kolkata,Female
CUS00007,Pooja Das,Chennai,M
CUS00008,Ravi Sharma, Ahmedabad  ,male
CUS00009,Pooja Kumar,Kolkata, female  
CUS00010,Pooja Verma, Pune  ,MALE
CUS00011,Ananya Kumar,Hyderabad,F
CUS00012,Ravi Joshi,Kolkata,F
CUS00013,Suresh Rao,Pune, male  
CUS00014,Sneha Sharma,Bangalore,Male
CUS00015,Vikram Gupta, Hyderabad  ,FEMALE
CUS00016,Sneha Gupta,Ahmedabad,Female
CUS00017,Ananya Gupta,Ahmedabad,F
CUS00018,Ravi Sharma,Bangalore,Female
CUS00019,Sneha Patel,Bangalore,female
CUS00020,Rahul Singh,Chennai,Male
CUS00021,Vikram Rao,Mumbai,MALE
CUS00022,Suresh Das,Kolkata,female
CUS00023,Meera Das,,FEMALE
CUS00024,Vikram Gupta,Chennai,Female
CUS00025,Suresh Patel,Chennai,MALE
CUS00026,Rahul Sharma,Mumbai,M
CUS00027,Amit Das,Ahmedabad,M
CUS00028,Ananya Nair,Hyderabad,F
CUS00029,Pooja Singh,Chennai,male
CUS00030,Ananya Verma,Chennai,male
CUS00031,Ananya Gupta,Hyderabad,MALE
CUS00032,Meera Das,Chennai,Female
CUS00033,Ravi Nair,Delhi,Female
CUS00034,Sneha Gupta,Chennai,male
CUS00035,Rahul Verma,Kolkata,F
CUS00036,Amit Joshi,Ahmedabad,FEMALE
CUS00037,Priya Singh,Chennai,male
CUS00038,Amit Nair,Kolkata,F
CUS00039,Suresh Patel,Hyderabad,FEMALE
CUS00040,Ananya Kumar,Mumbai,female
CUS00041,Amit Kumar,Bangalore,MALE
CUS00042,Rahul Gupta,Chennai,FEMALE
CUS00043,Sneha Singh,Ahmedabad, M  
CUS00044,Amit Rao,Hyderabad,male
CUS00045,Amit Sharma,Chennai,Male
CUS00046,Rahul Patel,Delhi,MALE
CUS00047,Rahul Rao,Mumbai,MALE
CUS00048,Priya Joshi,Delhi,MALE
CUS00049,Ravi Kumar,Hyderabad,female
CUS00050,Pooja Gupta, Bangalore  ,female
CUS00051,Pooja Singh, Hyderabad  ,Female
CUS00052,Sneha Joshi,Delhi,Female
CUS00053,Vikram Gupta,Chennai,male
CUS00054,Rahul Singh,Pune, Male  
CUS00055,Priya Gupta,Pune,MALE
CUS00056,Ravi Joshi,Pune,F
CUS00057,Amit Singh,Kolkata,Female
CUS00058,Ravi Gupta,Delhi,F
CUS00059,Pooja Verma,Mumbai,male
CUS00060,Suresh Das,Kolkata, FEMALE  
CUS00061,Meera Verma,Hyderabad,FEMALE
CUS00062,Ravi Singh,Kolkata,FEMALE
CUS00063,Rahul Verma, Mumbai  ,F
CUS00064,Sneha Nair,Ahmedabad, MALE  
CUS00065,Meera Joshi,Kolkata,F
CUS00066,Amit Verma,Delhi,Female
CUS00067,Meera Das,Kolkata,Male
CUS00068,Ananya Sharma,Chennai,F
CUS00069,Ananya Joshi,Hyderabad,F
CUS00070,Vikram Nair,Delhi,Male
CUS00071,Ravi Verma,,male
CUS00072,Sneha Gupta,Chennai,M
CUS00073,Pooja Joshi,,Female
CUS00074,Ravi Das,,Male
CUS00075,Rahul Singh,Ahmedabad,male
CUS00076,Ravi Rao,Delhi,FEMALE
CUS00077,Rahul Singh,Hyderabad,MALE
CUS00078,Suresh Gupta,Kolkata,MALE
CUS00079,Rahul Singh,Hyderabad,MALE
CUS00080,Ravi Nair,Pune,F
CUS00081,Amit Rao,Chennai,Male
CUS00082,Rahul Kumar, Bangalore  ,MALE
CUS00083,Suresh Sharma,Chennai,MALE
CUS00084,Suresh Rao,Pune,female
CUS00085,Amit Rao,Hyderabad,MALE
CUS00086,Amit Sharma,Kolkata,FEMALE
CUS00087,Ananya Das,Chennai,F
CUS00088,Priya Singh,Hyderabad,MALE
CUS00089,Suresh Kumar,Bangalore,Male
CUS00090,Rahul Sharma,Bangalore,Male
CUS00091,Meera Nair,Bangalore,MALE
CUS00092,Suresh Verma, Pune  ,female
CUS00093,Sneha Gupta,Bangalore,Female
CUS00094,Amit Verma,Pune,F
CUS00095,Ananya Rao,Pune,female
CUS00096,Suresh Gupta,Delhi, MALE  
CUS00097,Priya Verma,Ahmedabad,female
CUS00098,Sneha Patel,Bangalore,Male
CUS00099,Priya Singh,Kolkata,M
CUS00100,Rahul Kumar,Mumbai, Female  
CUS00101,Pooja Rao,Delhi,MALE
CUS00102,Meera Verma,Kolkata,Female
CUS00103,Vikram Das,Mumbai,Female
CUS00104,Amit Joshi,Delhi,M
CUS00105,Suresh Kumar,Bangalore,M
CUS00106,Amit Nair,Bangalore,FEMALE
CUS00107,Priya Kumar,,M
CUS00108,Suresh Singh,Hyderabad,FEMALE
CUS00109,Rahul Das,Bangalore,MALE
CUS00110,Priya Kumar,Mumbai,F
CUS00111,Ananya Singh,Delhi,F
CUS00112,Pooja Gupta,Hyderabad,female
CUS00113,Ravi Singh,Chennai,FEMALE
CUS00114,Ananya Singh,Mumbai,M
CUS00115,Pooja Nair,Pune,FEMALE
CUS00116,Rahul Nair,Delhi,MALE
CUS00117,Amit Nair,Hyderabad,Female
CUS00118,Suresh Kumar,Mumbai,female
CUS00119,Meera Kumar,Ahmedabad,M
CUS00120,Amit Patel,Bangalore,M
CUS00121,Meera Singh,Bangalore,male
CUS00122,Vikram Gupta,,F
CUS00123,Pooja Sharma, Hyderabad  ,FEMALE
CUS00124,Vikram Das,Mumbai,MALE
CUS00125,Ravi Patel,Bangalore,Female
CUS00126,Meera Sharma,Kolkata,F
CUS00127,Rahul Singh,Bangalore,MALE
CUS00128,Ananya Verma,Pune,female
CUS00129,Ravi Sharma,Ahmedabad,male
CUS00130,Suresh Sharma, Hyderabad  ,male
CUS00131,Ravi Das, Bangalore  ,male
CUS00132,Sneha Joshi,Mumbai,MALE
CUS00133,Meera Singh,Ahmedabad,M
CUS00134,Priya Patel,Chennai,F
CUS00135,Suresh Rao,Kolkata,female
CUS00136,Suresh Nair,Bangalore,Male
CUS00137,Ravi Nair,Delhi,Male
CUS00138,Pooja Rao,,M
CUS00139,Vikram Joshi,Pune,Female
CUS00140,Amit Sharma,Hyderabad,M
CUS00141,Ananya Rao,Delhi,female
CUS00142,Suresh Rao,Pune,MALE
CUS00143,Ravi Nair,Pune,M
CUS00144,Vikram Das,Ahmedabad,F
CUS00145,Priya Patel,Pune,male
CUS00146,Ravi Gupta,Ahmedabad,Female
CUS00147,Rahul Joshi,Mumbai,Male
CUS00148,Amit Rao,Kolkata,FEMALE
CUS00149,Rahul Joshi,Kolkata,Male
